,group,threshold,avg_clustering,avg_clustering_ste,global_efficiency,global_efficiency_ste,avg_local_efficiency,avg_local_efficiency_ste,largest_cc,largest_cc_ste,num_nodes,num_edges,avg_clustering_p,largest_cc_p,avg_local_efficiency_p,global_efficiency_p,avg_pc,avg_pc_ste
61,control,0.3192,0.4187089034415902,0.0069783603845076,0.3754150194010783,0.0048849892247566,0.4692361776867239,0.0074507513461713,0.9873251748251748,0.0028286571347724,52,423,0.1478723881270793,0.3569672745996658,0.0579160626824282,0.0153788737233658,0.9310232289053034,0.004091203860217
62,covid,0.3282,0.3987933227395833,0.0090342702393964,0.3571155623650194,0.0058771975844359,0.443341137738274,0.0094100470237533,0.9812271062271062,0.0040172196011771,52,435,0.0832405459903468,0.3569672745996658,0.0513947817797776,0.0177162474587717,0.9429790671719468,0.0030142927671448
63,control,0.3282,0.4191551534420231,0.0070280635900659,0.3773118477853495,0.0049623575743141,0.4688440188409863,0.0074798277169552,0.9873251748251748,0.0028286571347724,52,435,0.0832405459903468,0.3569672745996658,0.0513947817797776,0.0177162474587717,0.9330324489638436,0.0039080743969562
64,covid,0.3372,0.4001979726509823,0.0092516248644019,0.3589261643589217,0.0059721196027895,0.4443599457169426,0.0096077841595341,0.9816849816849818,0.0039891638715155,52,447,0.1503069023997764,0.3592066428200241,0.0730271831527123,0.0150169048293227,0.9444120183765604,0.0029371039253381
65,control,0.3372,0.4193500260343919,0.0070060751262669,0.3794939802618042,0.004989623515495,0.4681037922711421,0.0074143849107453,0.9881993006993008,0.0024890271174947,52,447,0.1503069023997764,0.3592066428200241,0.0730271831527123,0.0150169048293227,0.9347917512549964,0.0038076327987295
66,covid,0.3462,0.3997966098918754,0.0094152189667838,0.3607013249309745,0.0060933212715289,0.4430015410949257,0.0097567125136058,0.983058608058608,0.0037311866761153,52,459,0.1168722142419161,0.2906538181183695,0.0602371122196279,0.0150169048293227,0.945609841435279,0.0028880405792071
67,control,0.3462,0.419693546904094,0.0069446641171351,0.3817121264211231,0.0050961436756647,0.4676617933076768,0.0073282592933466,0.9895104895104896,0.0024298926973014,52,459,0.1168722142419161,0.2906538181183695,0.0602371122196279,0.0150169048293227,0.9370164483623888,0.0036307955038141
68,covid,0.3551,0.3989477491184124,0.0094405942979329,0.3621225249022035,0.0061607955282584,0.4415222201304335,0.0097782244405897,0.9835164835164836,0.0036955643359041,52,470,0.089577966431486,0.2477807052528662,0.0513947817797776,0.0169046760247,0.946815251422127,0.0028157456330048
69,control,0.3551,0.4197590910477295,0.0071125964996111,0.383313910860461,0.0051797299910788,0.4666681431388154,0.0074552158299205,0.9899475524475524,0.0024325712496825,52,470,0.089577966431486,0.2477807052528662,0.0513947817797776,0.0169046760247,0.9388337664459124,0.0035154183223007
70,covid,0.3641,0.3978700169563417,0.0095419626147137,0.3638675061607384,0.0062420764205833,0.4400216889395069,0.0098504178541347,0.9844322344322344,0.0035607343902381,52,482,0.0802108250352837,0.2619387881248513,0.0464407372836602,0.0189976120417397,0.9481518211817972,0.0027333247662472
71,control,0.3641,0.4198738113963047,0.0073147447693948,0.3850358411100112,0.0052864161762381,0.4664602628670204,0.0076361734594095,0.9903846153846152,0.0023536559471741,52,482,0.0802108250352837,0.2619387881248513,0.0464407372836602,0.0189976120417397,0.9405063956632628,0.0034043030687803
72,covid,0.3731,0.3977746020167827,0.0096065067596501,0.3651714738232399,0.0063398019400386,0.4390540861081782,0.0099067705953452,0.9844322344322344,0.0035607343902381,52,494,0.0817142943822606,0.2619387881248513,0.0513947817797776,0.0189976120417397,0.9493715391862844,0.0026497951410022
73,control,0.3731,0.4200784834655037,0.0073110472877342,0.3865332034336775,0.0053683758308763,0.4653991364980168,0.007663161117896,0.9903846153846152,0.0023536559471741,52,494,0.0817142943822606,0.2619387881248513,0.0513947817797776,0.0189976120417397,0.9421243915027886,0.0032754853447508
74,covid,0.3821,0.3973177466971492,0.009788913294063,0.3667341927109837,0.0064530168310621,0.4384361915363726,0.0100372807006308,0.9853479853479854,0.0035942216575293,52,506,0.096298257383081,0.4085842647963646,0.0663787474871534,0.0203592860664581,0.95048168342052,0.0026230472155348
75,control,0.3821,0.4199482657782551,0.0074340643128715,0.3881073492865604,0.0054336322653624,0.4643807564328584,0.0077500755896329,0.9908216783216784,0.0022700896107787,52,506,0.096298257383081,0.4085842647963646,0.0663787474871534,0.0203592860664581,0.9441347587396772,0.0030803244727244
76,covid,0.391,0.3965142036559101,0.0099026261796846,0.3681541434457275,0.0065855504962802,0.4368420363528837,0.0100660438888342,0.9862637362637362,0.0035042112077391,52,518,0.1148697400847574,0.5430938074219034,0.0626347552756479,0.0208317220941823,0.9516646947398422,0.0025507533718893
77,control,0.391,0.4205486441283037,0.0076713982511034,0.3893581975012622,0.0055095986248925,0.4637576726746136,0.0079105718319154,0.9908216783216784,0.0022700896107787,52,518,0.1148697400847574,0.5430938074219034,0.0626347552756479,0.0208317220941823,0.9456038498711484,0.0030097833117467
78,covid,0.4,0.3964983690367026,0.0100850745646766,0.3696300136424386,0.0066875951755785,0.435943529174938,0.0102322661379944,0.9876373626373626,0.0032260845880841,52,530,0.1272986186779608,0.5549858498497421,0.0758348157873675,0.0255313721186413,0.9528378805926676,0.0024829514022578
79,control,0.4,0.4204821632443746,0.0079065237229495,0.3908399395728335,0.0055338749795821,0.4626442283686341,0.0080323352055031,0.9916958041958044,0.0021763564002024,52,530,0.1272986186779608,0.5549858498497421,0.0758348157873675,0.0255313721186413,0.9470140262245124,0.002911340194606564
