,group,threshold,avg_clustering,avg_clustering_ste,global_efficiency,global_efficiency_ste,avg_local_efficiency,avg_local_efficiency_ste,modularity,modularity_ste,largest_cc,largest_cc_ste,num_nodes,num_edges,avg_local_efficiency_p,modularity_p,global_efficiency_p,largest_cc_p,avg_clustering_p
53,covid,0.3013,0.2994204196406685,0.0089914409905491,0.3227261028997948,0.0050349273486541,0.3773191157251943,0.0088280326572546,0.2673325899194244,0.0066632091879437,0.9833928571428572,0.0032611458847119,400,24042,0.0003422792002882217,0.531084510235108,0.00014144688269440147,0.23781305649197015,0.0006749042959898992
54,control,0.2744,0.3560811482535583,0.0100044471339549,0.352755564145969,0.0053618747455586,0.4405164501759099,0.0101083151567491,0.2879919912331973,0.0063628691680882,0.9910795454545456,0.0013455181939239,400,21893,0.0003537751837300296,0.531084510235108,0.00014646659048669905,0.2613745694530667,0.0007653848599050884
55,covid,0.3103,0.2978870881232913,0.0089697170083851,0.3231503996314542,0.005083806771949,0.3745551129804062,0.0088070898901856,0.2624042843186008,0.0066961254788833,0.9833928571428572,0.0032611458847119,400,24758,0.00036563149511139676,0.42923663715179117,0.00014646659048669905,0.21599105470469138,0.0006334909855529578
56,covid,0.3192,0.296452718841894,0.0089634389246167,0.3235186865592451,0.0051263920326523,0.3719078696839272,0.0087971520399945,0.2577945335971997,0.0064368043806353,0.9833928571428572,0.0032611458847119,400,25474,0.00036563149511139676,0.4601118832150398,0.00014646659048669905,0.21599105470469138,0.0006538928141349498
57,control,0.2833,0.3547473860602527,0.010085713646797,0.3538483687144972,0.0054590659000219,0.4378517507495971,0.0101687189377369,0.2824992167193083,0.0061566739188759,0.991193181818182,0.0013336877884337,400,22610,0.0003311334258993076,0.5951979255769622,0.00015165369125760134,0.26495009579683626,0.0008147341139890692
58,control,0.2923,0.3536190071662582,0.0101850548873373,0.3548470405637099,0.0055641999830678,0.4353540475591724,0.0102503398296448,0.2779531206563857,0.0061398038896684,0.9913068181818184,0.0013264061528455,400,23326,0.0003203279984550621,0.5086708862890612,0.00015165369125760134,0.2502956906765953,0.0006538928141349498
59,covid,0.3282,0.294954575526608,0.008926126238821,0.3238435084352708,0.0051651401187934,0.3692111590697089,0.008773385605758,0.2546052591218596,0.0065508427489918,0.9833928571428572,0.0032611458847119,400,26190,0.0003537751837300296,0.536765184580598,0.00013658952849480052,0.21599105470469138,0.0006538928141349498
60,control,0.3013,0.3525675826435876,0.0103308057159552,0.3557629255614462,0.0056624972368439,0.433004781306804,0.0103840752752315,0.2732968359080672,0.0059489046103018,0.9913636363636364,0.0013287549744473,400,24042,0.0003422792002882217,0.531084510235108,0.00014144688269440147,0.23781305649197015,0.0006749042959898992
61,covid,0.3372,0.2935631432022686,0.0089057741384069,0.3241345723655817,0.0052012636148529,0.3666042660420724,0.008754759891313,0.2504993665768108,0.0062044219416577,0.9833928571428572,0.0032611458847119,400,26906,0.00039046689577531624,0.6315952300886698,0.00014144688269440147,0.19558627815967178,0.0006749042959898992
62,control,0.3103,0.3515251524655698,0.010462777751252,0.3565992255419478,0.0057539632945825,0.4306409185385897,0.0104967353748961,0.2689542685895847,0.0058295598107743,0.9914204545454546,0.0013334677170179,400,24758,0.00036563149511139676,0.42923663715179117,0.00014646659048669905,0.21599105470469138,0.0006334909855529578
63,covid,0.3462,0.2922341654923754,0.0088779196240246,0.3243928898238804,0.0052351522854099,0.3640424975513146,0.0087336520685336,0.2465177268565609,0.0061974006927993,0.9833928571428572,0.0032611458847119,400,27623,0.0003778585158545618,0.6439349620405077,0.00013658952849480052,0.19558627815967178,0.0006538928141349498
64,control,0.3192,0.3501946042510532,0.0105238071842897,0.3573667209649171,0.0058438625402532,0.4280620417313847,0.0105480205481659,0.2646850534669727,0.0057682635734381,0.9914204545454546,0.0013334677170179,400,25474,0.00036563149511139676,0.4601118832150398,0.00014646659048669905,0.21599105470469138,0.0006538928141349498
65,covid,0.3551,0.2909176479090865,0.008844926597288,0.3246566944429238,0.0052736058252101,0.3615204804579527,0.0087091279471934,0.2425564434094506,0.0061522504850946,0.9835119047619048,0.0032733327832635,400,28339,0.0003537751837300296,0.5198153846245217,0.00014144688269440147,0.24795644029496555,0.0007188230306397219
66,covid,0.3641,0.2896653466886907,0.0088049415906323,0.324859385940057,0.0053021334002206,0.3590451423923439,0.0086812351115761,0.2384035707527387,0.0059480654619115,0.9835119047619048,0.0032733327832635,400,29055,0.0003778585158545618,0.4706733051928613,0.00014646659048669905,0.24795644029496555,0.0007417646969850937
67,control,0.3282,0.3488785912023408,0.0105894070439303,0.3580659686299109,0.0059257465996868,0.4254396667273619,0.0105871544636309,0.2604018757114624,0.0056411641401762,0.9914204545454546,0.0013334677170179,400,26190,0.0003537751837300296,0.536765184580598,0.00013658952849480052,0.21599105470469138,0.0006538928141349498
68,control,0.3372,0.3476834314868188,0.0106487512661012,0.3587471504019439,0.0060164429559241,0.4229445234662574,0.0106303333110188,0.2549584403837417,0.0056959212424863,0.9914772727272728,0.0013381090319429,400,26906,0.00039046689577531624,0.6315952300886698,0.00014144688269440147,0.19558627815967178,0.0006749042959898992
69,covid,0.3731,0.2884518041756498,0.0087630329448143,0.3250334072689028,0.0053271816620755,0.3566073241444282,0.0086527133451538,0.2352477116080104,0.00603188418765,0.9835119047619048,0.0032733327832635,400,29771,0.0003778585158545618,0.5832817761031224,0.00013658952849480052,0.24795644029496555,0.0007417646969850937
70,control,0.3462,0.3465847820229598,0.0107348879100021,0.3593398303764514,0.0060943773442381,0.4205417693820703,0.0106996137672058,0.2510233108501989,0.0054882249650088,0.9914772727272728,0.0013381090319429,400,27623,0.0003778585158545618,0.6439349620405077,0.00013658952849480052,0.19558627815967178,0.0006538928141349498
71,covid,0.3821,0.2872429521029019,0.0087142759145283,0.3251829203278936,0.0053487979956157,0.3541831552747483,0.0086197816749019,0.2317501295284144,0.005907812534473,0.9835119047619048,0.0032733327832635,400,30487,0.0004034675590427679,0.5031459734900328,0.00013658952849480052,0.24795644029496555,0.0007417646969850937
72,covid,0.391,0.2861065661438877,0.0086707094491685,0.3253121981602326,0.0053684018105896,0.3518039315627804,0.0085896785586754,0.227054686267383,0.0058436545789503,0.9835119047619048,0.0032733327832635,400,31203,0.0004034675590427679,0.4601118832150398,0.00013658952849480052,0.24795644029496555,0.0007188230306397219
73,control,0.3551,0.3455236082431943,0.0108176515814678,0.3598846463791062,0.0061696118197887,0.4181817545718424,0.0107634379802644,0.2483327333510329,0.0053371354823266,0.9914772727272728,0.0013381090319429,400,28339,0.0003537751837300296,0.5198153846245217,0.00014144688269440147,0.24795644029496555,0.0007188230306397219
74,control,0.3641,0.34439744111134,0.0108773245830676,0.36039947754607,0.0062468068789016,0.4157819155791837,0.0108088330124168,0.2438412375010815,0.0053766300769587,0.9914772727272728,0.0013381090319429,400,29055,0.0003778585158545618,0.4706733051928613,0.00014646659048669905,0.24795644029496555,0.0007417646969850937
75,covid,0.4,0.2849816036733574,0.0086226569416043,0.3254218569144189,0.0053850943482253,0.3494485326848064,0.0085576223926634,0.2249044828420711,0.0056949525241048,0.9835119047619048,0.0032733327832635,400,31920,0.0003778585158545618,0.6132773944088556,0.00014646659048669905,0.24795644029496555,0.0007188230306397219
76,control,0.3731,0.3432740488845155,0.0109176969032612,0.3608635326102974,0.0063192119473416,0.4133832016234043,0.0108368380381151,0.240110585481742,0.0053069475017767,0.9914772727272728,0.0013381090319429,400,29771,0.0003778585158545618,0.5832817761031224,0.00013658952849480052,0.24795644029496555,0.0007417646969850937
77,control,0.3821,0.342075718037623,0.0109490116916297,0.3613104408729332,0.0063976404336892,0.4109469145827619,0.0108533264417304,0.2363292753215362,0.0051875212325137,0.9914772727272728,0.0013381090319429,400,30487,0.0004034675590427679,0.5031459734900328,0.00013658952849480052,0.24795644029496555,0.0007417646969850937
78,control,0.391,0.3409837613632161,0.0109941846661321,0.3616983919324972,0.0064629370227553,0.4086121714688628,0.0108872671522033,0.2325473716914717,0.0050519608430159,0.9914772727272728,0.0013381090319429,400,31203,0.0004034675590427679,0.4601118832150398,0.00013658952849480052,0.24795644029496555,0.0007188230306397219
79,control,0.4,0.3398371576448302,0.0110198801854528,0.3620640310741977,0.0065288735614821,0.4062448333136537,0.0109066016087763,0.2289412711651473,0.0049805423857855,0.9914772727272728,0.0013381090319429,400,31920,0.0003778585158545618,0.6132773944088556,0.00014646659048669905,0.24795644029496555,0.0007188230306397219
